中国,8233
非洲,668
俄罗斯,195
哈萨克斯坦,153
菲律宾,146
巴基斯坦,145
新加坡,142
越南,140
印度,119
老挝,116
法国,109
塞尔维亚,107
阿富汗,105
西班牙,104
德国,101
新西兰,96
荷兰,94
乌兹别克斯坦,89
意大利,85
美国,79
南非,76
缅甸,73
柬埔寨,72
巴拿马,70
阿根廷,68
塞内加尔,61
芬兰,60
英国,58
匈牙利,56
斯里兰卡,52
南亚,52
卢旺达,50
葡萄牙,48
波兰,48
澳大利亚,48
马来西亚,42
塔吉克斯坦,41
苏丹,41
印度尼西亚,40
日本,40
土耳其,40
吉尔吉斯斯坦,38
白俄罗斯,38
克罗地亚,38
保加利亚,37
希腊,36
尼泊尔,34
瑞士,34
巴布亚新几内亚,34
智利,31
巴西,30
汤加,30
泰国,29
奥地利,28
科威特,26
萨摩亚,26
吉布提,25
坦桑尼亚,25
拉脱维亚,24
马达加斯加,23
古巴,23
卢森堡,22
爱沙尼亚,22
肯尼亚,21
毛里求斯,21
斐济,21
比利时,21
孟加拉国,21
马里,20
马尔代夫,19
立陶宛,18
挪威,17
亚美尼亚,16
特立尼达和多巴哥,16
瓦努阿图,15
安哥拉,15
莫桑比克,14
埃塞俄比亚,13
萨尔瓦多,13
摩洛哥,13
斯洛文尼亚,12
阿尔及利亚,12
冈比亚,12
尼日利亚,12
阿尔巴尼亚,11
津巴布韦,11
厄瓜多尔,11
加纳,11
喀麦隆,11
蒙古,10
摩纳哥,10
纳米比亚,10
伊拉克,10
阿塞拜疆,9
罗马尼亚,9
玻利维亚,9
约旦,9
乍得,9
利比里亚,9
土库曼斯坦,9
索马里,8
圣多美和普林西比,8
卡塔尔,8
密克罗尼西亚联邦,8
布基纳法索,8
毛里塔尼亚,8
几内亚,8
博茨瓦纳,8
以色列,8
尼日尔,7
牙买加,7
墨西哥,7
突尼斯,7
乌拉圭,7
布隆迪,7
赞比亚,7
加蓬,7
科摩罗,7
科特迪瓦,7
塞拉利昂,7
秘鲁,7
乌干达,6
多哥,6
赤道几内亚,6
贝宁,6
乌克兰,6
黑山,5
爱尔兰,5
阿曼,5
加拿大,4
黎巴嫩,4
莱索托,4
塞舌尔,4
佛得角,3
阿拉伯联合酋长国,3
瑞典,3
丹麦,3
格鲁吉亚,2
塞浦路斯,2
马耳他,2
沙特阿拉伯,2
文莱达鲁萨兰国,2
马拉维,2
利比亚,2
苏里南,1
巴林,1
中非共和国,1
冰岛,1
斯洛伐克共和国,1
摩尔多瓦,1
伊朗伊斯兰共和国,1
哥斯达黎加,1
阿拉伯埃及共和国,1
